DATE,NBUSBIS
1994-01-01,88.81
1994-02-01,88.89
1994-03-01,89.52
1994-04-01,90.3
1994-05-01,90.27
1994-06-01,90.41
1994-07-01,89.21
1994-08-01,89.18
1994-09-01,88.42
1994-10-01,87.92
1994-11-01,88.31
1994-12-01,90.56
1995-01-01,93.09
1995-02-01,92.57
1995-03-01,91.67
1995-04-01,88.82
1995-05-01,88.78
1995-06-01,89.05
1995-07-01,89.15
1995-08-01,91.48
1995-09-01,93.02
1995-10-01,92.92
1995-11-01,94.35
1995-12-01,94.99
1996-01-01,95.62
1996-02-01,95.89
1996-03-01,95.97
1996-04-01,96.22
1996-05-01,96.61
1996-06-01,97.07
1996-07-01,97.03
1996-08-01,96.57
1996-09-01,97.11
1996-10-01,97.67
1996-11-01,97.31
1996-12-01,98.38
1997-01-01,99.43
1997-02-01,101.33
1997-03-01,102.21
1997-04-01,102.99
1997-05-01,101.82
1997-06-01,101.6
1997-07-01,102.6
1997-08-01,104.5
1997-09-01,104.95
1997-10-01,105.39
1997-11-01,107.27
1997-12-01,111.1
1998-01-01,114.35
1998-02-01,113.0
1998-03-01,112.73
1998-04-01,112.71
1998-05-01,113.6
1998-06-01,116.14
1998-07-01,116.5
1998-08-01,118.63
1998-09-01,117.26
1998-10-01,113.98
1998-11-01,113.92
1998-12-01,113.11
1999-01-01,113.38
1999-02-01,114.83
1999-03-01,116.17
1999-04-01,115.46
1999-05-01,115.27
1999-06-01,115.95
1999-07-01,116.02
1999-08-01,114.84
1999-09-01,114.13
1999-10-01,113.73
1999-11-01,113.94
1999-12-01,114.07
2000-01-01,113.88
2000-02-01,115.4
2000-03-01,115.35
2000-04-01,115.96
2000-05-01,118.75
2000-06-01,117.53
2000-07-01,117.62
2000-08-01,118.51
2000-09-01,119.79
2000-10-01,121.65
2000-11-01,122.55
2000-12-01,121.62
2001-01-01,121.52
2001-02-01,122.14
2001-03-01,124.22
2001-04-01,125.29
2001-05-01,124.95
2001-06-01,125.7
2001-07-01,126.19
2001-08-01,124.22
2001-09-01,124.59
2001-10-01,125.43
2001-11-01,126.0
2001-12-01,126.12
2002-01-01,127.55
2002-02-01,128.26
2002-03-01,127.51
2002-04-01,127.07
2002-05-01,125.46
2002-06-01,124.02
2002-07-01,122.26
2002-08-01,123.58
2002-09-01,124.36
2002-10-01,125.31
2002-11-01,124.02
2002-12-01,123.43
2003-01-01,121.83
2003-02-01,121.75
2003-03-01,121.24
2003-04-01,120.37
2003-05-01,116.13
2003-06-01,115.78
2003-07-01,116.82
2003-08-01,118.28
2003-09-01,117.08
2003-10-01,114.71
2003-11-01,114.51
2003-12-01,112.96
2004-01-01,111.11
2004-02-01,111.52
2004-03-01,112.67
2004-04-01,113.55
2004-05-01,115.35
2004-06-01,114.26
2004-07-01,113.41
2004-08-01,113.69
2004-09-01,113.2
2004-10-01,111.6
2004-11-01,108.57
2004-12-01,107.26
2005-01-01,107.89
2005-02-01,108.07
2005-03-01,107.4
2005-04-01,108.44
2005-05-01,108.92
2005-06-01,110.03
2005-07-01,110.47
2005-08-01,109.01
2005-09-01,108.87
2005-10-01,110.07
2005-11-01,110.87
2005-12-01,110.16
2006-01-01,108.68
2006-02-01,108.87
2006-03-01,109.08
2006-04-01,108.34
2006-05-01,106.11
2006-06-01,107.5
2006-07-01,107.15
2006-08-01,106.45
2006-09-01,106.72
2006-10-01,107.11
2006-11-01,106.13
2006-12-01,105.2
2007-01-01,106.3
2007-02-01,105.97
2007-03-01,105.41
2007-04-01,104.02
2007-05-01,103.19
2007-06-01,102.99
2007-07-01,101.65
2007-08-01,102.17
2007-09-01,100.77
2007-10-01,98.71
2007-11-01,97.12
2007-12-01,97.97
2008-01-01,97.16
2008-02-01,96.41
2008-03-01,94.41
2008-04-01,94.0
2008-05-01,94.32
2008-06-01,94.45
2008-07-01,93.67
2008-08-01,95.96
2008-09-01,98.3
2008-10-01,104.82
2008-11-01,107.64
2008-12-01,106.62
2009-01-01,107.22
2009-02-01,109.86
2009-03-01,110.4
2009-04-01,107.72
2009-05-01,104.45
2009-06-01,103.2
2009-07-01,102.84
2009-08-01,101.49
2009-09-01,100.74
2009-10-01,99.28
2009-11-01,98.83
2009-12-01,99.19
2010-01-01,99.42
2010-02-01,100.88
2010-03-01,100.1
2010-04-01,99.66
2010-05-01,102.6
2010-06-01,103.27
2010-07-01,101.58
2010-08-01,100.67
2010-09-01,99.78
2010-10-01,96.9
2010-11-01,97.19
2010-12-01,97.96
2011-01-01,96.85
2011-02-01,96.16
2011-03-01,95.21
2011-04-01,93.67
2011-05-01,93.53
2011-06-01,93.58
2011-07-01,93.0
2011-08-01,93.47
2011-09-01,96.19
2011-10-01,97.24
2011-11-01,97.86
2011-12-01,98.69
2012-01-01,98.28
2012-02-01,96.53
2012-03-01,97.06
2012-04-01,97.37
2012-05-01,99.13
2012-06-01,100.52
2012-07-01,100.02
2012-08-01,99.17
2012-09-01,97.63
2012-10-01,97.26
2012-11-01,97.93
2012-12-01,97.28
2013-01-01,97.32
2013-02-01,98.0
2013-03-01,98.92
2013-04-01,98.52
2013-05-01,99.02
2013-06-01,99.69
2013-07-01,100.24
2013-08-01,100.07
2013-09-01,99.96
2013-10-01,98.89
2013-11-01,99.74
2013-12-01,99.89
2014-01-01,100.78
2014-02-01,100.95
2014-03-01,100.89
2014-04-01,100.55
2014-05-01,100.24
2014-06-01,100.44
2014-07-01,100.19
2014-08-01,101.09
2014-09-01,102.54
2014-10-01,103.85
2014-11-01,105.52
2014-12-01,107.94
2015-01-01,110.17
2015-02-01,111.71
2015-03-01,113.7
2015-04-01,112.93
2015-05-01,112.0
2015-06-01,112.8
2015-07-01,114.62
2015-08-01,116.64
2015-09-01,117.42
2015-10-01,116.45
2015-11-01,118.31
2015-12-01,119.46
2016-01-01,121.96
2016-02-01,120.96
2016-03-01,118.65
2016-04-01,116.65
2016-05-01,117.85
2016-06-01,118.37
2016-07-01,119.08
2016-08-01,117.99
2016-09-01,118.91
2016-10-01,120.04
2016-11-01,123.12
2016-12-01,125.2
2017-01-01,125.18
2017-02-01,123.3
2017-03-01,122.76
2017-04-01,121.8
2017-05-01,121.24
2017-06-01,119.57
2017-07-01,117.99
2017-08-01,116.55
2017-09-01,115.43
2017-10-01,117.55
2017-11-01,117.8
2017-12-01,117.39
2018-01-01,114.8
2018-02-01,113.76
2018-03-01,114.06
2018-04-01,114.0
2018-05-01,117.21
2018-06-01,119.16
2018-07-01,119.76
2018-08-01,120.72
2018-09-01,121.03
2018-10-01,121.8
2018-11-01,123.13
2018-12-01,123.0
2019-01-01,121.12
2019-02-01,120.93
2019-03-01,121.27
2019-04-01,121.43
2019-05-01,122.72
2019-06-01,122.26
2019-07-01,121.76
2019-08-01,124.03
2019-09-01,124.44
2019-10-01,123.85
2019-11-01,123.45
2019-12-01,122.92
2020-01-01,122.08
2020-02-01,123.64
2020-03-01,128.06
2020-04-01,130.74
2020-05-01,129.97
2020-06-01,127.06
2020-07-01,126.13
2020-08-01,124.25
2020-09-01,123.41
2020-10-01,122.72
2020-11-01,120.7
2020-12-01,118.53
2021-01-01,118.01
2021-02-01,118.49
2021-03-01,120.12
2021-04-01,119.39
2021-05-01,117.91
2021-06-01,118.24
2021-07-01,119.75
2021-08-01,120.08
2021-09-01,120.07
2021-10-01,120.82
2021-11-01,121.78
2021-12-01,122.57
2022-01-01,121.92
2022-02-01,121.84
2022-03-01,123.39
